batch_idx,mc_draw,accuracy,fault_layer,fault_location,fault_category,fault_type,fault_value
43,74,0.0,2,In3_Out1,Connection,stuck_on,stuck_on
43,75,0.0,1,In0_Out3,Connection,stuck_off,stuck_off
43,76,0.0,2,In3_Out0,Connection,stuck_off,stuck_off
43,77,0.0,1,In0_Out0,Connection,stuck_on,stuck_on
43,78,0.0,1,In4_Out4,Connection,stuck_off,stuck_off
43,79,1.0,2,In1_Out2,Connection,stuck_on,stuck_on
43,80,0.0,1,In2_Out2,Connection,stuck_on,stuck_on
43,81,0.0,1,In0_Out2,Connection,stuck_on,stuck_on
43,82,0.0,1,In1_Out3,Connection,stuck_off,stuck_off
43,83,1.0,2,In4_Out0,Connection,stuck_off,stuck_off
43,84,0.0,1,N4,Neuron,dynamic,Idx_1
43,85,1.0,2,In4_Out0,Connection,stuck_off,stuck_off
43,86,0.0,1,N3,Neuron,dynamic,Idx_2
43,87,0.0,1,In2_Out2,Connection,stuck_on,stuck_on
43,88,0.0,1,In3_Out1,Connection,stuck_off,stuck_off
43,89,0.0,2,In4_Out0,Connection,stuck_on,stuck_on
43,90,0.0,2,In2_Out1,Connection,stuck_off,stuck_off
43,91,0.0,1,In2_Out0,Connection,stuck_on,stuck_on
43,92,0.0,1,In4_Out3,Connection,stuck_off,stuck_off
43,93,0.0,2,In0_Out2,Connection,stuck_off,stuck_off
43,94,1.0,2,In3_Out2,Connection,stuck_on,stuck_on
43,95,1.0,2,N0,Neuron,dynamic,Idx_0
43,96,0.0,1,In3_Out1,Connection,stuck_on,stuck_on
43,97,0.0,0,In0_Out1,Connection,stuck_on,stuck_on
43,98,0.0,1,In4_Out1,Connection,stuck_off,stuck_off
43,99,0.0,1,In3_Out1,Connection,stuck_on,stuck_on
44,0,1.0,0,N1,Neuron,dynamic,Idx_1
44,1,1.0,1,In3_Out3,Connection,stuck_on,stuck_on
44,2,1.0,0,In0_Out1,Connection,stuck_off,stuck_off
44,3,1.0,1,In4_Out0,Connection,stuck_off,stuck_off
44,4,1.0,0,In0_Out4,Connection,stuck_on,stuck_on
44,5,1.0,1,In4_Out0,Connection,stuck_on,stuck_on
44,6,1.0,1,In1_Out3,Connection,stuck_off,stuck_off
44,7,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
44,8,0.5,2,N1,Neuron,dynamic,Idx_2
44,9,0.5,1,In2_Out4,Connection,stuck_on,stuck_on
44,10,1.0,1,In4_Out4,Connection,stuck_off,stuck_off
44,11,1.0,1,In3_Out2,Connection,stuck_on,stuck_on
44,12,1.0,2,In4_Out2,Connection,stuck_on,stuck_on
44,13,0.5,0,N4,Neuron,static,0.0
44,14,1.0,0,In0_Out0,Connection,stuck_on,stuck_on
44,15,0.5,2,N1,Neuron,static,2.0
44,16,0.0,1,N4,Neuron,dynamic,Idx_0
44,17,0.0,1,N4,Neuron,dynamic,Idx_0
44,18,1.0,1,In4_Out0,Connection,stuck_off,stuck_off
44,19,0.0,2,N0,Neuron,static,3.0
44,20,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
44,21,1.0,2,In2_Out0,Connection,stuck_on,stuck_on
44,22,1.0,2,In1_Out0,Connection,stuck_off,stuck_off
44,23,1.0,1,In1_Out1,Connection,stuck_off,stuck_off
44,24,1.0,2,In0_Out1,Connection,stuck_off,stuck_off
44,25,1.0,1,In4_Out4,Connection,stuck_off,stuck_off
44,26,0.5,0,In0_Out0,Connection,stuck_off,stuck_off
44,27,1.0,1,In4_Out1,Connection,stuck_off,stuck_off
44,28,1.0,0,In0_Out3,Connection,stuck_off,stuck_off
44,29,1.0,1,In2_Out1,Connection,stuck_off,stuck_off
44,30,1.0,1,In2_Out2,Connection,stuck_off,stuck_off
44,31,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
44,32,0.5,1,N3,Neuron,static,0.0
44,33,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
