run,method,dataset,metric,value,roc_mode
PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,val_loss,1.1274335384368896,
PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,val_power,0.009820006787776949,
PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_roc_micro_auc,0.8363000154495239,generic
PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_roc_micro_auc_mode_none,0.8363000154495239,none
PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_roc_micro_auc_mode_single,0.6585000157356262,single
PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_acc_mode_none,0.797468364238739,
PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_acc_mode_single,0.797468364238739,
PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,val_loss,0.8063349723815918,
PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,val_power,0.0018751625902950764,
PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_roc_micro_auc,0.8771030306816101,generic
PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_roc_micro_auc_mode_none,0.8771030306816101,none
PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_roc_micro_auc_mode_single,0.8695721626281738,single
PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_acc_mode_none,0.8101266026496887,
PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_acc_mode_single,0.7848101258277893,
PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,val_loss,0.833350419998169,
PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,val_power,0.0037914987187832594,
PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_roc_micro_auc,0.8740586638450623,generic
PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_roc_micro_auc_mode_none,0.8740586638450623,none
PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_roc_micro_auc_mode_single,0.872215986251831,single
PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_acc_mode_none,0.6899999976158142,
PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_acc_mode_single,0.4600000083446502,
PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,val_loss,1.0674711465835571,
PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,val_power,0.0035734432749450207,
PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_roc_micro_auc,0.8220499753952026,generic
PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_roc_micro_auc_mode_none,0.8220499753952026,none
PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_roc_micro_auc_mode_single,0.6660000085830688,single
PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_acc_mode_none,0.7599999904632568,
PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_acc_mode_single,0.6100000143051147,
PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,val_loss,1.0621254444122314,
PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,val_power,0.004124445375055075,
PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_roc_micro_auc,0.8420000076293945,generic
PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_roc_micro_auc_mode_none,0.8420000076293945,none
PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_roc_micro_auc_mode_single,0.7832000255584717,single
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,val_loss,1.5551323890686035,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,val_power,0.006647759582847357,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_roc_micro_auc,0.7113900184631348,generic
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7113900184631348,none
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.759660005569458,single
PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,val_loss,1.55786395072937,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,val_power,0.015040972270071508,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_roc_micro_auc,0.7086799740791321,generic
PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7086799740791321,none
PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.7173900008201599,single
PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_acc_mode_none,0.8481012582778931,
PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_acc_mode_single,0.8227847814559937,
PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,val_loss,0.7939287424087524,
PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,val_power,0.003339619841426611,
PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_roc_micro_auc,0.8980932831764221,generic
PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_roc_micro_auc_mode_none,0.8980932831764221,none
PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_roc_micro_auc_mode_single,0.8932062387466431,single
PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_acc_mode_none,0.8607594966888428,
PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_acc_mode_single,0.8607594966888428,
PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,val_loss,0.7801225781440735,
PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,val_power,0.0033237740863114595,
PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_roc_micro_auc,0.9031405448913574,generic
PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_roc_micro_auc_mode_none,0.9031405448913574,none
PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_roc_micro_auc_mode_single,0.9031405448913574,single
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,val_loss,1.5466898679733276,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,val_power,0.0016478479374200106,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_roc_micro_auc,0.7327700257301331,generic
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7327700257301331,none
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.7386599779129028,single
PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,val_loss,1.5641262531280518,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,val_power,0.0017506101867184043,
PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_roc_micro_auc,0.7613700032234192,generic
PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7613700032234192,none
PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.7550399899482727,single
PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_acc_mode_none,0.7215189933776855,
PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_acc_mode_single,0.746835470199585,
PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,val_loss,0.853220522403717,
PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,val_power,0.0043797725811600685,
PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_roc_micro_auc,0.8275116086006165,generic
PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_roc_micro_auc_mode_none,0.8275116086006165,none
PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_roc_micro_auc_mode_single,0.8346418738365173,single
PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,woFaults,distalphalanxtw,val_loss,1.545315861701965,
PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,woFaults,distalphalanxtw,val_power,0.0016570733860135078,
